time;precipitation_sum (mm);snowfall_sum (cm)
2024-03-01;NaN;NaN
2024-03-02;NaN;NaN
2024-03-03;NaN;NaN
2024-03-04;NaN;NaN
2024-03-05;NaN;NaN
2024-03-06;NaN;NaN
2024-03-07;NaN;NaN
2024-03-08;NaN;NaN
2024-03-09;NaN;NaN
2024-03-10;NaN;NaN
2024-03-11;NaN;NaN
2024-03-12;NaN;NaN
2024-03-13;NaN;NaN
2024-03-14;NaN;NaN
2024-03-15;NaN;NaN
2024-03-16;NaN;NaN
2024-03-17;NaN;NaN
2024-03-18;NaN;NaN
2024-03-19;NaN;NaN
2024-03-20;0.00;0.00
2024-03-21;7.90;0.00
2024-03-22;0.00;0.00
2024-03-23;6.90;0.01
2024-03-24;4.90;1.01
2024-03-25;0.10;0.00
2024-03-26;0.00;0.00
2024-03-27;8.30;0.00
2024-03-28;1.80;0.00
2024-03-29;0.00;0.00
2024-03-30;0.00;0.00
2024-03-31;0.00;0.00
2024-04-01;2.30;0.00
2024-04-02;0.20;0.00
2024-04-03;5.30;0.00
2024-04-04;1.70;0.00
2024-04-05;1.50;0.00
2024-04-06;0.00;0.00
2024-04-07;0.00;0.00
2024-04-08;0.00;0.00
2024-04-09;0.20;0.00
2024-04-10;0.90;0.00
2024-04-11;0.00;0.00
2024-04-12;0.00;0.00
2024-04-13;0.00;0.00
2024-04-14;0.00;0.00
2024-04-15;6.60;0.00
2024-04-16;5.40;0.00
2024-04-17;11.70;0.00
2024-04-18;9.50;0.56
2024-04-19;4.40;0.00
2024-04-20;4.40;0.00
2024-04-21;9.10;0.00
2024-04-22;2.30;0.42
2024-04-23;4.90;0.49
2024-04-24;1.50;0.00
2024-04-25;0.20;0.00
2024-04-26;0.00;0.00
2024-04-27;0.00;0.00
2024-04-28;0.00;0.00
2024-04-29;0.00;0.00
2024-04-30;0.00;0.00
2024-05-01;0.00;0.00
2024-05-02;0.20;0.00
2024-05-03;1.60;0.00
2024-05-04;0.40;0.00
2024-05-05;0.00;0.00
2024-05-06;38.60;0.00
2024-05-07;0.30;0.00
2024-05-08;9.00;0.00
2024-05-09;0.30;0.00
2024-05-10;0.00;0.00
2024-05-11;0.00;0.00
2024-05-12;0.00;0.00
2024-05-13;0.00;0.00
2024-05-14;0.00;0.00
2024-05-15;0.10;0.00
2024-05-16;0.60;0.00
2024-05-17;7.10;0.00
2024-05-18;0.20;0.00
2024-05-19;5.50;0.00
2024-05-20;0.00;0.00
2024-05-21;8.30;0.00
2024-05-22;2.20;0.00
2024-05-23;8.40;0.00
2024-05-24;3.40;0.00
2024-05-25;1.50;0.00
2024-05-26;0.10;0.00
2024-05-27;35.10;0.00
2024-05-28;10.20;0.00
2024-05-29;1.40;0.00
2024-05-30;22.90;0.00
2024-05-31;23.20;0.00
2024-06-01;78.40;0.00
2024-06-02;2.80;0.00
2024-06-03;14.00;0.00
2024-06-04;0.00;0.00
2024-06-05;0.30;0.00
2024-06-06;0.80;0.00
2024-06-07;5.40;0.00
2024-06-08;4.30;0.00
2024-06-09;13.80;0.00
2024-06-10;3.30;0.00
2024-06-11;0.70;0.00
2024-06-12;0.00;0.00
2024-06-13;0.30;0.00
2024-06-14;0.20;0.00
2024-06-15;2.80;0.00
2024-06-16;0.90;0.00
2024-06-17;0.40;0.00
2024-06-18;0.00;0.00
2024-06-19;0.00;0.00
2024-06-20;0.80;0.00
2024-06-21;11.20;0.00
2024-06-22;7.20;0.00
2024-06-23;3.20;0.00
2024-06-24;0.00;0.00
2024-06-25;0.00;0.00
2024-06-26;6.10;0.00
2024-06-27;0.00;0.00
2024-06-28;0.10;0.00
2024-06-29;0.00;0.00
2024-06-30;0.00;0.00
2024-07-01;7.00;0.00
2024-07-02;0.70;0.00
2024-07-03;8.10;0.00
2024-07-04;0.80;0.00
2024-07-05;0.60;0.00
2024-07-06;9.40;0.00
2024-07-07;10.30;0.00
2024-07-08;1.10;0.00
2024-07-09;0.00;0.00
2024-07-10;1.10;0.00
2024-07-11;0.90;0.00
2024-07-12;16.00;0.00
2024-07-13;2.10;0.00
2024-07-14;0.00;0.00
2024-07-15;0.00;0.00
2024-07-16;4.10;0.00
2024-07-17;0.00;0.00
2024-07-18;0.00;0.00
2024-07-19;0.00;0.00
2024-07-20;0.20;0.00
2024-07-21;8.40;0.00
2024-07-22;4.80;0.00
2024-07-23;4.00;0.00
2024-07-24;3.50;0.00
2024-07-25;0.00;0.00
2024-07-26;0.00;0.00
2024-07-27;0.30;0.00
2024-07-28;1.60;0.00
2024-07-29;0.00;0.00
2024-07-30;0.00;0.00
2024-07-31;1.50;0.00